  1567     1.2094143414691859E+33     8.4075211878873014E+08     1.7315962990329218E+29    101
     1     0.0000000000000000E+00     0.0000000000000000E+00     0.0000000000000000E+00     2.1191980365087756E+23     9.9864165682309959E+05     3.9871633970828746E+06     2.2676747821218529E-03     0.0000000000000000E+00     1.5006546259047651E+00     3.3590495627893080E-01     5.0947287395055547E-05     3.1498724904001400E-08     9.4954062816261250E-08    -6.3710218548966953E-08    -1.0920654328987743E-26     3.9950079797939528E-25    -2.7073248391123629E-25     0.0000000000000000E+00
     2     1.6913812779232217E+06     8.0811252142045343E+25     6.9255845025466737E+21     2.1191376074778976E+23     9.9864159224516246E+05     3.9870876254835641E+06     2.2677126771495173E-03     4.6326197186777055E-09     1.5006556627512928E+00     3.3590480885448831E-01     5.0948269408078475E-05     3.1499929540687658E-08     9.4957616948361546E-08    -6.3712692876267460E-08     5.9154696377313945E-27    -2.1640048358665210E-25     1.4664961909957156E-25     0.0000000000000000E+00
     3     2.1310116114167669E+06     1.6162250568848153E+26     1.3851218093978216E+22     2.1190981997012864E+23     9.9864155013141781E+05     3.9870382126011094E+06     2.2677349369960072E-03     6.1019436335611064E-09     1.5006563389182541E+00     3.3590471271484895E-01     5.0948909805860845E-05     3.1500715131736345E-08     9.4959934737170772E-08    -6.3714306482181720E-08     1.1201684374647011E-26    -4.0978104940875212E-25     2.7769936172429767E-25     0.0000000000000000E+00
     4     2.6849165048486935E+06     3.2324502501788969E+26     2.7702603094915935E+22     2.1190362747466305E+23     9.9864148395212763E+05     3.9869605665446804E+06     2.2677711139381094E-03     9.1677064986013374E-09     1.5006574014707610E+00     3.3590456164330079E-01     5.0949916118194878E-05     3.1501949663018712E-08     9.4963577064896386E-08    -6.3716842211915808E-08     5.8646332739785480E-27    -2.1453862567666433E-25     1.4538883324790871E-25     0.0000000000000000E+00
     5     3.5109432310220827E+06     7.2277182615810232E+26     6.1943408620245810E+22     2.1189198293143345E+23     9.9864135949845973E+05     3.9868145563591779E+06     2.2678416738338238E-03     1.5450464773107126E-08     1.5006593996082889E+00     3.3590427755352498E-01     5.0951808541334349E-05     3.1504271343348755E-08     9.4970426884596774E-08    -6.3721610955895151E-08     1.8887965934879319E-28    -6.9094929430835964E-27     4.6824605544785169E-27     0.0000000000000000E+00
     6     4.0656386874334980E+06     1.1222986272983150E+27     9.6184791640133448E+22     2.1188263826060326E+23     9.9864125961687963E+05     3.9866973822730822E+06     2.2678982904382320E-03     2.0751109778953895E-08     1.5006610031819041E+00     3.3590404956517000E-01     5.0953327308428833E-05     3.1506134696170060E-08     9.4975924464178692E-08    -6.3725438299506308E-08     7.9416650810086366E-27    -2.9050906458620391E-25     1.9687746892772804E-25     0.0000000000000000E+00
     7     4.8636917272833139E+06     1.9213522331654611E+27     1.6466905411492388E+23     2.1186635017394628E+23     9.9864108550645772E+05     3.9864931400313061E+06     2.2679949560068077E-03     2.9690129824130779E-08     1.5006637984335516E+00     3.3590365215567924E-01     5.0955974795085555E-05     3.1509383035582922E-08     9.4985508258505207E-08    -6.3732110431991971E-08     2.3191494147304068E-26    -8.4835302187150291E-25     5.7492751868137544E-25     0.0000000000000000E+00
     8     5.9510878793084640E+06     3.5194594566913792E+27     3.0164258287337562E+23     2.1183943213475300E+23     9.9864079772586573E+05     3.9861555943906549E+06     2.2681552482130213E-03     4.4430493398092485E-08     1.5006684183964547E+00     3.3590299533859469E-01     5.0960350717232837E-05     3.1514752580305735E-08     9.5001350366129717E-08    -6.3743139587614170E-08     9.2843904321096924E-28    -3.3961319785981625E-26     2.3016112016268395E-26     0.0000000000000000E+00
     9     7.3815264410236795E+06     6.7156739037432149E+27     5.7560599587835651E+23     2.1179572241931260E+23     9.9864033031406137E+05     3.9856074571360005E+06     2.2684159482864391E-03     6.8355632520349937E-08     1.5006759215774907E+00     3.3590192866200130E-01     5.0967458046200411E-05     3.1523475063567718E-08     9.5027084803561173E-08    -6.3761055852267543E-08     3.3725919690478157E-27    -1.2335323089382278E-25     8.3603971419692676E-26     0.0000000000000000E+00
    10     9.2253347385673113E+06     1.3108102797846888E+28     1.1235855715871117E+24     2.1172550944283531E+23     9.9863957919887465E+05     3.9847268855527448E+06     2.2688351985676405E-03     1.0689308904027380E-07     1.5006879775328421E+00     3.3590021486639371E-01     5.0978879223858553E-05     3.1537495156123494E-08     9.5068448930710801E-08    -6.3789853849085599E-08     9.3720890937827105E-27    -3.4278135048183769E-25     2.3232580232135871E-25     0.0000000000000000E+00
    11     1.1576042852761818E+07     2.5892960586054246E+28     2.2197135765027011E+24     2.1161329544303052E+23     9.9863837803392555E+05     3.9833193741473234E+06     2.2695053795910910E-03     1.6873467100633904E-07     1.5007072535971322E+00     3.3589747501037381E-01     5.0997143607840876E-05     3.1559924428155556E-08     9.5134622670760735E-08    -6.3835925429027001E-08     7.8044907739402376E-28    -2.8541361646121564E-26     1.9345858467022552E-26     0.0000000000000000E+00
    12     1.4488100414915524E+07     5.0744955058820310E+28     4.3509482308487621E+24     2.1144300852395400E+23     9.9863655324260169E+05     3.9811830031318557E+06     2.2705449340813819E-03     2.6466541440140821E-07     1.5007365251646947E+00     3.3589331513285225E-01     5.1024886655109554E-05     3.1594014733463189E-08     9.5235199401068194E-08    -6.3905951390554634E-08     6.0607034026728745E-26    -2.2155942870526521E-24     1.5021379201852256E-24     0.0000000000000000E+00
