  1650     1.2094143414691859E+33     8.8439476766362739E+08     1.1538031244387647E+31    101
     1     0.0000000000000000E+00     0.0000000000000000E+00     0.0000000000000000E+00     2.0782717264828863E+23     1.1549186140980141E+07     3.9308846494269581E+06     1.2324668498070771E-02     0.0000000000000000E+00     1.5013979353402689E+00     3.4468901012630970E-01     1.2403828681957993E-03     2.8455439610265431E-05     6.8742625455983812E-05    -4.9212747748889821E-05    -1.9941933657498659E-30    -1.6437807118596278E-29    -9.5230471735898892E-30     0.0000000000000000E+00
     2     1.6994149377882394E+06     8.0811254827484640E+25     7.5999653744852743E+23     2.0782124320398978E+23     1.1549182079797024E+07     3.9308099052659036E+06     1.2324726512115466E-02     2.7535001071924795E-08     1.5013989715902023E+00     3.4468893561451774E-01     1.2403934583662712E-03     2.8456351236726319E-05     6.8744830811654544E-05    -4.9214380794099378E-05     1.0769541432552338E-30     8.8771554386099525E-30     5.1428739490148990E-30     0.0000000000000000E+00
     3     2.1411334137622123E+06     1.6162250837392083E+26     1.5199925702434020E+24     2.0781737641658812E+23     1.1549179431349378E+07     3.9307611620570105E+06     1.2324760590035910E-02     4.3606194782452365E-08     1.5013996473674467E+00     3.4468888702191386E-01     1.2404003645998087E-03     2.8456945746622956E-05     6.8746269016759141E-05    -4.9215445772694896E-05     4.3046581120732903E-23     3.5482601947917872E-22     2.0556504901779856E-22     0.0000000000000000E+00
     4     2.6976692306113797E+06     3.2324502770332899E+26     3.0399835793032554E+24     2.0781130018874999E+23     1.1549175269504989E+07     3.9306845669957735E+06     1.2324814283332566E-02     6.9182613888965926E-08     1.5014007093050381E+00     3.4468881065967860E-01     1.2404112172996532E-03     2.8457880006670035E-05     6.8748529126124019E-05    -4.9217119373557459E-05     1.9236656495279267E-22     1.5856612723052153E-21     9.1862442867212604E-22     0.0000000000000000E+00
     5     3.5276194059669008E+06     7.2277182884354168E+26     6.7973578208051653E+24     2.0779987427867915E+23     1.1549167443076083E+07     3.9305405335510434E+06     1.2324917633935948E-02     1.1828723638782195E-07     1.5014027062866973E+00     3.4468866706248025E-01     1.2404316262266198E-03     2.8459636973500980E-05     6.8752779477602671E-05    -4.9220266771921895E-05     3.8027034633163978E-22     3.1345931674763926E-21     1.8159192549533198E-21     0.0000000000000000E+00
     6     4.0849495526607726E+06     1.1222986299837544E+27     1.0554726095972654E+25     2.0779070505973027E+23     1.1549161162035750E+07     3.9304249458354991E+06     1.2325001053543146E-02     1.5862005489363518E-07     1.5014043089325186E+00     3.4468855182224145E-01     1.2404480053839139E-03     2.8461047079585507E-05     6.8756190720469640E-05    -4.9222792838067419E-05     3.7893477180583189E-22     3.1235913207853594E-21     1.8095390917936584E-21     0.0000000000000000E+00
     7     4.8867931931401268E+06     1.9213522358509006E+27     1.8069447732994344E+25     2.0777472279206778E+23     1.1549150213350382E+07     3.9302234687263491E+06     1.2325143074662337E-02     2.2699670200182245E-07     1.5014071025664535E+00     3.4468835094522543E-01     1.2404765571417812E-03     2.8463505256322493E-05     6.8762137385172429E-05    -4.9227196476554659E-05     3.4060611650380943E-32     2.8084482839250009E-31     1.6254493610710445E-31     0.0000000000000000E+00
     8     5.9793542967166975E+06     3.5194594593768187E+27     3.3098841043344055E+25     2.0774831015666115E+23     1.1549132117392197E+07     3.9298904929313459E+06     1.2325378134047467E-02     3.3983119603485979E-07     1.5014117198544208E+00     3.4468801894560508E-01     1.2405237489060959E-03     2.8467568571605792E-05     6.8771967079355977E-05    -4.9234475760700669E-05     1.2850076341750547E-22     1.0593424112469241E-21     6.1360203872471518E-22     0.0000000000000000E+00
     9     7.4165872603887608E+06     6.7156739064286544E+27     6.3157463764037436E+25     2.0770542112180238E+23     1.1549102727923719E+07     3.9293497765896753E+06     1.2325760065741608E-02     5.2280982222512288E-07     1.5014192186880153E+00     3.4468747977332331E-01     1.2406003965901142E-03     2.8474168953132411E-05     6.8787934218458659E-05    -4.9246300536089453E-05     3.6714503719401941E-22     3.0266925941511125E-21     1.7531486766185396E-21     0.0000000000000000E+00
    10     9.2691535296760276E+06     1.3108102800532327E+28     1.2327418023949441E+26     2.0763652644863746E+23     1.1549055504957028E+07     3.9284811265450935E+06     1.2326374039197030E-02     8.1657167689764031E-07     1.5014312676499226E+00     3.4468661349705854E-01     1.2407235643439203E-03     2.8484777524699681E-05     6.8813597529504059E-05    -4.9265307210151093E-05     1.2333195581687341E-22     1.0169345243513912E-21     5.8885606238825062E-22     0.0000000000000000E+00
